"Termen","Coeficient","Standard error","Statistică t","p-value","IC 95% inferior","IC 95% superior"
"Intercept",157.099735698706,48.507833144082,3.23864674045686,0.00300587973263908,57.8900774768025,256.30939392061
"Log PIB/locuitor PPP",-12.1703877908056,5.05758133426111,-2.40636521421037,0.0227088912626988,-22.5143030531335,-1.82647252847774
"Creștere PIB",0.402047633592285,0.466318338814054,0.862174184731352,0.395665428509075,-0.551680455620299,1.35577572280487
"Inflație",-0.343157714000301,0.116483225791755,-2.94598395320702,0.00628972648434912,-0.581392660200835,-0.104922767799767
"Șomaj feminin",-1.2804614825311,0.299581727967524,-4.27416415286153,0.000189174763835545,-1.89317491281162,-0.667748052250588
"Fertilitate",-0.513224158208924,6.08429938531253,-0.084352219657015,0.933356021073664,-12.9570136126599,11.930565296242
"Educație terțiară",0.0490573681859031,0.0393021226201191,1.24821167192609,0.221937671490279,-0.0313244979954988,0.129439234367305
"Internet",0.51266738067745,0.402408519318709,1.27399733371802,0.212780129594329,-0.310350451279904,1.3356852126348
"Digitalizare ridicată",-0.75207784287965,3.53792968363403,-0.212575689776611,0.833145108791316,-7.98795650362914,6.48380081786984
"Controlul corupției",6.55513339549758,2.31866968750095,2.82710962705631,0.00842409959609158,1.81292142030606,11.2973453706891
