"Termen","Coeficient","Standard error","Statistică t","p-value","IC 95% inferior","IC 95% superior"
"Intercept",146.401399372374,63.0328450776888,2.32262083667543,0.0274204786707318,17.4847561915265,275.318042553222
"Log PIB/locuitor PPP",-12.4126566764235,5.26357048395675,-2.35821990305953,0.0253184546062243,-23.1778670536666,-1.64744629918036
"Creștere PIB",0.414702112872334,0.471639700000321,0.879277365480582,0.386478911232195,-0.549909381974898,1.37931360771957
"Inflație",-0.342961720715676,0.11640954560946,-2.94616492934585,0.00628690656723819,-0.581045974023343,-0.10487746740801
"Șomaj feminin",-1.27707729498675,0.285793979316794,-4.46852413770113,0.000110758752197576,-1.86159161302852,-0.692562976944984
"Fertilitate",0.0463919658754085,5.9164602864926,0.00784116914995988,0.993797409591727,-12.0541279885602,12.146911920311
"Internet",0.646425817875693,0.78096378361289,0.827728290914082,0.414584294495515,-0.950824461801501,2.24367609755289
"Educație terțiară",0.227644396491512,0.669989016120263,0.339773326150544,0.736475862892523,-1.14263699918098,1.597925792164
"Controlul corupției",6.60695121859557,2.33677412424577,2.82738119617277,0.00841852519523298,1.82771151271943,11.3861909244717
"Internet × Educație terțiară",-0.00197746444975411,0.00735258198982668,-0.268948303125379,0.789873683574071,-0.0170151830815587,0.0130602541820505
