"Termen","Coeficient","Standard error","Statistică t","p-value","IC 95% inferior","IC 95% superior"
"Intercept",195.925094328371,70.7106135996205,2.77080178426599,0.0103968818249751,50.2938595311114,341.556329125632
"Log PIB/locuitor PPP",-15.9041232006994,6.71555712697522,-2.36825074971298,0.0259151302460386,-29.735072006922,-2.07317439447678
"Creștere PIB",0.321356238408769,0.568331011848106,0.565438506274326,0.576815523136087,-0.849143391217696,1.49185586803523
"Inflație",-0.29325694033094,0.189597895616946,-1.54673098758133,0.134494701628032,-0.683741115874934,0.0972272352130552
"Șomaj feminin",-1.37780849062038,0.329636485343038,-4.17978152262653,0.000311861310260725,-2.05670754057846,-0.698909440662298
"Fertilitate",-1.15863199481688,7.39122356661027,-0.156757806657477,0.876694814057901,-16.3811418822695,14.0638778926357
"Urbanizare",0.0256661691005503,0.121583185612044,0.211099659639185,0.834520832965665,-0.224739089034015,0.276071427235115
"Femei în servicii",0.190986572863599,0.293778621183515,0.650103714471092,0.521554966523571,-0.414061823438557,0.796034969165755
"Dependența copiilor",-0.0474417892008446,0.537686659148905,-0.088233152884878,0.930394365263522,-1.15482819301914,1.05994461461745
"Ocupare vulnerabilă",0.0551746433677869,0.197417296222504,0.279482317018469,0.782173948958865,-0.351413889182778,0.461763175918352
"Internet",0.376976655401486,0.356132350896459,1.05852965745055,0.299935098303936,-0.356491651152436,1.11044496195541
"Femei în parlament",-0.0321578371840364,0.151666014760903,-0.212030607085788,0.833802337199666,-0.344519841726567,0.280204167358494
"Educație terțiară",0.0328204068847219,0.0453266736484207,0.724085935343405,0.475734922049357,-0.0605316249622674,0.126172438731711
"Controlul corupției",6.72711577888487,3.24864754383312,2.07074349806118,0.048857804038207,0.0364009180532534,13.4178306397165
