"Țară","Cook's distance","Leverage","Reziduu studentizat","Observație"
"Turkiye",1.94623709353849,0.930964904802367,-1.45266542946915,"Influentă / necesită inspecție"
"Albania",0.239466810761002,0.492020321733318,1.96387572535633,"Influentă / necesită inspecție"
"Malta",0.220005584417742,0.707740730408624,-1.13423263374531,"Influentă / necesită inspecție"
"Romania",0.149548587859104,0.381705143046171,-1.94080191156056,"Influentă / necesită inspecție"
"Bosnia and Herzegovina",0.140055088382853,0.367040831525334,-1.93747144092559,"Influentă / necesită inspecție"
"North Macedonia",0.130833350057919,0.381869843326091,-1.79702330605679,"Influentă / necesită inspecție"
"Hungary",0.114416250745039,0.411672752621804,1.55535897713675,"Influentă / necesită inspecție"
"Greece",0.0608446787458541,0.628736088015176,-0.701991141850558,"Fără semnal major"
"Bulgaria",0.060206162203029,0.534903951422168,0.85136238543885,"Fără semnal major"
"Italy",0.0554545997323641,0.280010256465958,-1.44316312762859,"Fără semnal major"
"Spain",0.0485785359512892,0.367786126675183,1.08506488433774,"Fără semnal major"
"United Kingdom",0.0433436244564933,0.212084324679927,-1.5422998383093,"Fără semnal major"
"Russian Federation",0.039002850355573,0.534299137073623,0.682468893081246,"Fără semnal major"
"Belgium",0.0340598159546608,0.109741895505666,-2.09601665042023,"Influentă / necesită inspecție"
"Montenegro",0.0317548687845707,0.612793396392407,0.522243326499363,"Fără semnal major"
"Sweden",0.0288218144324655,0.181417756891117,1.37300192748542,"Fără semnal major"
"Moldova",0.0273332809202302,0.760804005124117,-0.340669766966895,"Influentă / necesită inspecție"
"Serbia",0.0268860181112546,0.267722771245641,1.01528937014523,"Fără semnal major"
"Lithuania",0.0265615933690985,0.173684832735592,1.35193594730482,"Fără semnal major"
"Estonia",0.0191624959447884,0.357565784226593,0.686893754652033,"Fără semnal major"
"Denmark",0.0160604013531771,0.288541294222254,-0.737765563165066,"Fără semnal major"
"Slovak Republic",0.0156347555980565,0.18762595094343,0.972453117606916,"Fără semnal major"
"Iceland",0.0154621344821058,0.29430088002618,0.71335286323614,"Fără semnal major"
"Portugal",0.0129743554996848,0.22404729508733,0.78708999456894,"Fără semnal major"
"Poland",0.0121022657500827,0.240781559944094,-0.723928055551417,"Fără semnal major"
"Luxembourg",0.01124948760344,0.64512111874468,0.288894499499891,"Fără semnal major"
"Cyprus",0.00384871415425295,0.361547379404897,0.302807917786577,"Fără semnal major"
"Belarus",0.00330863334160831,0.517252241307376,0.203896007480715,"Fără semnal major"
"Switzerland",0.00247815956176252,0.169922299772461,0.404739484073236,"Fără semnal major"
"Germany",0.00245877178157031,0.153455649774288,-0.428595752308483,"Fără semnal major"
"Latvia",0.00117789876012422,0.183566626256208,-0.265738892158759,"Fără semnal major"
"France",0.000876679287150018,0.342809449579255,0.150363954286112,"Fără semnal major"
"Austria",0.000831194923726645,0.229044817974237,0.194064406452433,"Fără semnal major"
"Croatia",0.00082195820875531,0.263381346795242,0.175886730393426,"Fără semnal major"
"Netherlands",0.000746486781283484,0.249736422134912,0.173719896859758,"Fără semnal major"
"Finland",0.000676333652676942,0.23508126546279,-0.17208639867293,"Fără semnal major"
"Slovenia",9.98639393355214e-06,0.246586323774242,-0.0202506957266506,"Fără semnal major"
"Czechia",4.91861457453943e-07,0.209077322800777,0.00500074610612572,"Fără semnal major"
"Norway",3.57077393035515e-08,0.263555902078472,0.00115801542424902,"Fără semnal major"
