"Predictor","r","p-value"
"Log PIB/locuitor PPP",3.16670304495648e-15,0.999999999999985
"Creștere PIB",-5.18167957206723e-17,1
"Inflație",8.87653606531629e-17,1
"Șomaj feminin",7.10146473244074e-17,1
"Fertilitate",1.28293987716197e-16,0.999999999999999
"Urbanizare",-3.31372634949161e-16,0.999999999999998
"Femei în servicii",4.72420856080471e-16,0.999999999999998
"Dependența copiilor",-8.36127807724674e-16,0.999999999999996
"Ocupare vulnerabilă",1.55033144743646e-16,0.999999999999999
"Internet",2.01480874616302e-15,0.99999999999999
"Femei în parlament",3.00452450446688e-16,0.999999999999999
"Educație terțiară",2.48483039832285e-16,0.999999999999999
"Controlul corupției",9.48008101186793e-19,1
