"Predictor","VIF","Interpretare"
"Log PIB/locuitor PPP",10.5783491312409,"multicoliniaritate severă potențială"
"Creștere PIB",2.46681308119264,"risc redus / moderat"
"Inflație",2.91996430582721,"risc redus / moderat"
"Șomaj feminin",1.68335643748161,"risc redus / moderat"
"Fertilitate",1.93698710696854,"risc redus / moderat"
"Urbanizare",3.41491745950063,"risc redus / moderat"
"Femei în servicii",16.7981848386035,"multicoliniaritate severă potențială"
"Dependența copiilor",2.95968030311257,"risc redus / moderat"
"Ocupare vulnerabilă",5.98301709708502,"necesită atenție"
"Internet",4.71683827639808,"risc redus / moderat"
"Femei în parlament",2.65020649757191,"risc redus / moderat"
"Educație terțiară",1.40983854278706,"risc redus / moderat"
"Controlul corupției",11.257443966404,"multicoliniaritate severă potențială"
