"Termen","Coeficient","Standard error HC3","Statistică t","p-value"
"Intercept",195.925094328371,85.9809714349401,2.278702962511,0.0314905774448378
"Log PIB/locuitor PPP",-15.9041232006994,8.53177886311893,-1.86410401111655,0.0740918210342688
"Creștere PIB",0.321356238408769,0.878354753150193,0.365861557936853,0.717546086501251
"Inflație",-0.29325694033094,0.561763630171794,-0.522029060943761,0.606245090281061
"Șomaj feminin",-1.37780849062038,0.543953742353402,-2.53295157904297,0.0179601732195014
"Fertilitate",-1.15863199481688,9.41652256863926,-0.123042448671613,0.903057329898369
"Urbanizare",0.0256661691005503,0.129238559527226,0.198595289164789,0.844185540790663
"Femei în servicii",0.190986572863599,0.459170523139864,0.41593822608126,0.681004122599608
"Dependența copiilor",-0.0474417892008446,0.775144714751519,-0.0612037833684419,0.951683591465287
"Ocupare vulnerabilă",0.0551746433677869,0.259008212389907,0.213022756532244,0.833036768419775
"Internet",0.376976655401486,0.399473455737235,0.943683866818559,0.354362529293879
"Femei în parlament",-0.0321578371840364,0.210385992632448,-0.152851607569794,0.879742308922332
"Educație terțiară",0.0328204068847219,0.0447756945335081,0.732996042309531,0.470378566662908
"Controlul corupției",6.72711577888487,3.84652882484069,1.74887959644069,0.0925817890460565
