Model,Clasă,Precision,Recall,F1,Support
Dummy Classifier,Participare scăzută,0.15270935960591134,1.0,0.26495726495726496,31
Dummy Classifier,Participare medie,0.0,0.0,0.0,44
Dummy Classifier,Participare ridicată,0.0,0.0,0.0,128
Logistic Regression,Participare scăzută,0.5789473684210527,0.3548387096774194,0.44,31
Logistic Regression,Participare medie,0.2222222222222222,0.09090909090909091,0.12903225806451613,44
Logistic Regression,Participare ridicată,0.7168674698795181,0.9296875,0.8095238095238095,128
SVC,Participare scăzută,0.7428571428571429,0.8387096774193549,0.7878787878787878,31
SVC,Participare medie,0.5909090909090909,0.5909090909090909,0.5909090909090909,44
SVC,Participare ridicată,0.8951612903225806,0.8671875,0.8809523809523809,128
Random Forest,Participare scăzută,0.6666666666666666,0.6451612903225806,0.6557377049180327,31
Random Forest,Participare medie,0.42857142857142855,0.5454545454545454,0.48,44
Random Forest,Participare ridicată,0.8632478632478633,0.7890625,0.8244897959183674,128
Gradient Boosting,Participare scăzută,0.6764705882352942,0.7419354838709677,0.7076923076923077,31
Gradient Boosting,Participare medie,0.48214285714285715,0.6136363636363636,0.54,44
Gradient Boosting,Participare ridicată,0.9026548672566371,0.796875,0.8464730290456431,128
XGBoost,Participare scăzută,0.6896551724137931,0.6451612903225806,0.6666666666666666,31
XGBoost,Participare medie,0.47619047619047616,0.45454545454545453,0.46511627906976744,44
XGBoost,Participare ridicată,0.8257575757575758,0.8515625,0.8384615384615385,128
Extra Trees,Participare scăzută,0.6756756756756757,0.8064516129032258,0.7352941176470589,31
Extra Trees,Participare medie,0.4807692307692308,0.5681818181818182,0.5208333333333334,44
Extra Trees,Participare ridicată,0.9035087719298246,0.8046875,0.8512396694214877,128
