Model,Year,country,Real,Real cod,Predicție,Predicție cod,Participare scăzută,Participare medie,Participare ridicată
Dummy Classifier,2019,Albania,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Austria,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Belgium,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Bulgaria,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Bosnia and Herzegovina,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Belarus,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Switzerland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Cyprus,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Czechia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Germany,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Denmark,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Spain,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Estonia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Finland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,France,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,United Kingdom,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Greece,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Croatia,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Hungary,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Ireland,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Iceland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Italy,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Lithuania,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Luxembourg,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Latvia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Moldova,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,North Macedonia,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Malta,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Montenegro,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Netherlands,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Norway,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Poland,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Portugal,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Romania,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Russian Federation,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Serbia,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Slovak Republic,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Slovenia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Sweden,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Turkiye,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2019,Ukraine,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Albania,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Austria,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Belgium,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Bulgaria,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Bosnia and Herzegovina,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Belarus,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Switzerland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Cyprus,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Czechia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Germany,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Denmark,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Spain,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Estonia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Finland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,France,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,United Kingdom,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Greece,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Croatia,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Hungary,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Ireland,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Iceland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Italy,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Lithuania,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Luxembourg,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Latvia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Moldova,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,North Macedonia,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Malta,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Montenegro,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Netherlands,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Norway,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Poland,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Portugal,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Romania,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Russian Federation,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Serbia,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Slovak Republic,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Slovenia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Sweden,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Turkiye,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2020,Ukraine,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Albania,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Austria,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Belgium,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Bulgaria,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Bosnia and Herzegovina,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Belarus,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Switzerland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Cyprus,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Czechia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Germany,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Denmark,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Spain,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Estonia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Finland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,France,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,United Kingdom,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Greece,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Croatia,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Hungary,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Ireland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Iceland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Italy,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Lithuania,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Luxembourg,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Latvia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Moldova,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,North Macedonia,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Malta,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Montenegro,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Netherlands,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Norway,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Poland,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Portugal,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Romania,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Russian Federation,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Serbia,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Slovak Republic,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Slovenia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Sweden,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Turkiye,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2021,Ukraine,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Albania,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Austria,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Belgium,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Bulgaria,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Bosnia and Herzegovina,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Belarus,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Switzerland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Cyprus,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Czechia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Germany,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Denmark,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Spain,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Estonia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Finland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,France,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,United Kingdom,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Greece,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Croatia,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Hungary,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Ireland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Iceland,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Italy,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Lithuania,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Luxembourg,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Latvia,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Moldova,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,North Macedonia,Participare scăzută,0,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Malta,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Montenegro,Participare medie,1,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Netherlands,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
Dummy Classifier,2022,Norway,Participare ridicată,2,Participare scăzută,0,1.0,0.0,0.0
