Model,Task,Complexitate,Metrică test,Fit time sec
XGBoost,Regresie,Ridicată,4.192999152952071,14.277803457998743
Extra Trees,Regresie,Ridicată,4.523208432856585,8.424246332999246
Gradient Boosting,Regresie,Ridicată,4.6761641799977856,6.0112472500004515
SVR,Regresie,Medie,4.702672537252339,0.35133891700024833
Random Forest,Regresie,Ridicată,5.287319588540592,14.128581250000934
LASSO,Regresie,Redusă,6.621461077309065,0.05519062500025029
Ridge,Regresie,Redusă,6.850103393724214,0.04543395799919381
Linear Regression,Regresie,Redusă,6.928999668714716,0.015739208000013605
Dummy Mean,Regresie,Redusă,10.830314365576996,0.021201584000664297
SVC,Clasificare,Medie,0.7532467532467533,1.781136958999923
Extra Trees,Clasificare,Ridicată,0.7024557068006266,13.127347000001464
Gradient Boosting,Clasificare,Ridicată,0.6980551122459837,29.806168708999394
XGBoost,Clasificare,Ridicată,0.6567481613993241,49.32941666700026
Random Forest,Clasificare,Ridicată,0.6534091669454667,27.417094583999642
Logistic Regression,Clasificare,Redusă,0.45951868919610855,0.08768470900031389
Dummy Classifier,Clasificare,Redusă,0.08831908831908832,0.015604209000230185
