Feature raw,Feature,Media train,Media test,Diferență standardizată
log_gdp_pc,Log PIB/locuitor PPP,10.439727292026369,10.675595094665377,0.4058752175823765
gdp_growth,Creștere PIB,2.692688416034558,2.223369645548278,-0.11926268494193266
inflation,Inflație,4.00904922878588,5.632419405734738,0.2238723490720485
female_unemployment,Șomaj feminin,10.25430487804878,7.05416748768473,-0.4701790193716181
fertility,Fertilitate,1.5644756097560977,1.49943842364532,-0.28373761755498816
urbanization,Urbanizare,69.67567561446276,72.30563654331824,0.2020932064954538
female_services,Femei în servicii,75.76044180154533,80.05091840822344,0.29046316348365914
child_dependency,Dependența copiilor,25.081163866378528,24.572702486365923,-0.12355148672886822
female_vulnerable,Ocupare vulnerabilă,14.105903178083707,12.010335791243946,-0.1681969767683487
internet,Utilizare internet,58.3688614841758,87.08011922796095,1.120944865204468
women_parliament,Femei în parlament,23.50261255123928,31.340363231339982,0.7239055093298501
female_tertiary,Educație terțiară feminină,71.28715820172071,87.05665997659227,0.6741948025886623
control_corruption,Controlul corupției,0.7090014824964134,0.7558621916256159,0.047055418079433094
