Model,Task,Train până la,Train,Test,Metrică
SVR,regression,2008,0.907748797311875,8.44313847547205,RMSE
SVR,regression,2010,0.8985144888755471,8.144284716777308,RMSE
SVR,regression,2012,0.9748667421306971,7.748777444817012,RMSE
SVR,regression,2014,1.0650575802633933,6.418257907161286,RMSE
SVR,regression,2016,1.1242651385051097,5.453830880203656,RMSE
SVR,regression,2018,1.1124220074066997,4.702672537252339,RMSE
Random Forest,regression,2008,1.50514148881588,6.99664670557959,RMSE
Random Forest,regression,2010,1.4517489089661404,6.589761134755859,RMSE
Random Forest,regression,2012,1.3743115614196753,6.465955368691696,RMSE
Random Forest,regression,2014,1.3170619007666413,6.137503349744595,RMSE
Random Forest,regression,2016,1.2960218880634289,5.8546906479691145,RMSE
Random Forest,regression,2018,1.2646529853109747,5.287319588540593,RMSE
Gradient Boosting,regression,2008,0.5791867581064483,6.890623205653075,RMSE
Gradient Boosting,regression,2010,0.7934222914994443,6.032490797200404,RMSE
Gradient Boosting,regression,2012,0.8953159561691584,6.166199309263868,RMSE
Gradient Boosting,regression,2014,0.9057848675478588,5.449061504009442,RMSE
Gradient Boosting,regression,2016,0.9938363889888708,5.5075802465847055,RMSE
Gradient Boosting,regression,2018,1.0371660271366794,4.6761641799977856,RMSE
XGBoost,regression,2008,0.178156386775329,7.779726213092422,RMSE
XGBoost,regression,2010,0.21907754484913422,6.576582105994358,RMSE
XGBoost,regression,2012,0.246012411987408,5.698574992657635,RMSE
XGBoost,regression,2014,0.2824562767958632,5.642694459974084,RMSE
XGBoost,regression,2016,0.3344385172297498,5.200744762352917,RMSE
XGBoost,regression,2018,0.37360075330129244,4.192999152952071,RMSE
Extra Trees,regression,2008,1.2596336423847945,6.80292294404028,RMSE
Extra Trees,regression,2010,1.0792728594426566,6.48650233983934,RMSE
Extra Trees,regression,2012,1.0471939629910485,6.31044755030892,RMSE
Extra Trees,regression,2014,1.025344089381826,6.052518790659582,RMSE
Extra Trees,regression,2016,1.0103370337181639,5.450689999249699,RMSE
Extra Trees,regression,2018,0.9995764945062401,4.523208432856583,RMSE
SVC,classification,2008,0.9774919961965578,0.45350476471166123,F1 Macro
SVC,classification,2010,0.9873223680133593,0.3931122209416486,F1 Macro
SVC,classification,2012,0.9732340525238815,0.4655613801787217,F1 Macro
SVC,classification,2014,0.9822500211054428,0.5366099417823555,F1 Macro
SVC,classification,2016,0.9846567501365789,0.5895225844354898,F1 Macro
SVC,classification,2018,0.9796609702504488,0.7532467532467533,F1 Macro
Random Forest,classification,2008,1.0,0.4848287755604829,F1 Macro
Random Forest,classification,2010,1.0,0.5252456816366591,F1 Macro
Random Forest,classification,2012,0.9977833255204643,0.5021008403361344,F1 Macro
Random Forest,classification,2014,1.0,0.5119862062093138,F1 Macro
Random Forest,classification,2016,1.0,0.5991236114212315,F1 Macro
Random Forest,classification,2018,1.0,0.6534091669454667,F1 Macro
Gradient Boosting,classification,2008,1.0,0.4543725291535054,F1 Macro
Gradient Boosting,classification,2010,1.0,0.49054639943832834,F1 Macro
Gradient Boosting,classification,2012,1.0,0.5286144722368359,F1 Macro
Gradient Boosting,classification,2014,1.0,0.5718330659740789,F1 Macro
Gradient Boosting,classification,2016,1.0,0.5977779214447146,F1 Macro
Gradient Boosting,classification,2018,1.0,0.6980551122459837,F1 Macro
XGBoost,classification,2008,0.9963783493195258,0.49727475443564767,F1 Macro
XGBoost,classification,2010,1.0,0.4992860057119543,F1 Macro
XGBoost,classification,2012,0.9977833255204643,0.49952527343831693,F1 Macro
XGBoost,classification,2014,0.9963289501399212,0.528244817318011,F1 Macro
XGBoost,classification,2016,0.9969616009483772,0.5809732664995823,F1 Macro
XGBoost,classification,2018,0.9959403671361774,0.6567481613993241,F1 Macro
Extra Trees,classification,2008,1.0,0.5218221966205837,F1 Macro
Extra Trees,classification,2010,1.0,0.48288648157700975,F1 Macro
Extra Trees,classification,2012,1.0,0.5431855584831974,F1 Macro
Extra Trees,classification,2014,1.0,0.5597917922913245,F1 Macro
Extra Trees,classification,2016,1.0,0.6226228459858633,F1 Macro
Extra Trees,classification,2018,1.0,0.7024557068006266,F1 Macro
