Familie,Model,Task,Tip model,Hyperparametri selectați,Număr features,Train N,Test N,Metrică principală,Valoare metrică,Timp de antrenare sec,Avertisment
Baseline,Dummy Mean,Regresie,DummyRegressor,Specificație implicită controlată,13,738,203,RMSE Test,10.830314365576996,0.021201584000664297,Importanța predictivă nu reprezintă automat efect economic cauzal.
Baseline,Linear Regression,Regresie,LinearRegression,Specificație implicită controlată,13,738,203,RMSE Test,6.928999668714716,0.015739208000013605,Importanța predictivă nu reprezintă automat efect economic cauzal.
Baseline,Ridge,Regresie,Ridge,alpha=10,13,738,203,RMSE Test,6.850103393724214,0.04543395799919381,Importanța predictivă nu reprezintă automat efect economic cauzal.
Baseline,LASSO,Regresie,Lasso,alpha=0.1,13,738,203,RMSE Test,6.621461077309065,0.05519062500025029,Importanța predictivă nu reprezintă automat efect economic cauzal.
Support Vector Machines,SVR,Regresie,SVR,kernel=rbf; gamma=scale; epsilon=0.5; degree=3; C=100,13,738,203,RMSE Test,4.702672537252339,0.35133891700024833,Importanța predictivă nu reprezintă automat efect economic cauzal.
Random Forest,Random Forest,Regresie,RandomForestRegressor,n_estimators=600; min_samples_split=2; min_samples_leaf=2; max_features=0.5; max_depth=12,13,738,203,RMSE Test,5.287319588540592,14.128581250000934,Importanța predictivă nu reprezintă automat efect economic cauzal.
Gradient Boosting,Gradient Boosting,Regresie,GradientBoostingRegressor,subsample=0.6; n_estimators=100; min_samples_leaf=2; max_depth=4; loss=squared_error; learning_rate=0.1,13,738,203,RMSE Test,4.6761641799977856,6.0112472500004515,Importanța predictivă nu reprezintă automat efect economic cauzal.
XGBoost,XGBoost,Regresie,XGBRegressor,subsample=0.6; reg_lambda=1; reg_alpha=0.01; n_estimators=400; min_child_weight=5; max_depth=4; learning_rate=0.1; colsample_bytree=0.6,13,738,203,RMSE Test,4.192999152952071,14.277803457998743,Importanța predictivă nu reprezintă automat efect economic cauzal.
Extra Trees,Extra Trees,Regresie,ExtraTreesRegressor,n_estimators=800; min_samples_split=10; min_samples_leaf=1; max_features=1.0; max_depth=12,13,738,203,RMSE Test,4.523208432856585,8.424246332999246,Importanța predictivă nu reprezintă automat efect economic cauzal.
Baseline,Dummy Classifier,Clasificare,DummyClassifier,Specificație implicită controlată,13,738,203,F1 Macro,0.08831908831908832,0.015604209000230185,"Clasificarea este exploratorie, iar pragurile sunt tertile calculate exclusiv pe training."
Baseline,Logistic Regression,Clasificare,LogisticRegression,C=0.1,13,738,203,F1 Macro,0.45951868919610855,0.08768470900031389,"Clasificarea este exploratorie, iar pragurile sunt tertile calculate exclusiv pe training."
Support Vector Machines,SVC,Clasificare,SVC,kernel=rbf; gamma=0.1; degree=2; C=10,13,738,203,F1 Macro,0.7532467532467533,1.781136958999923,"Clasificarea este exploratorie, iar pragurile sunt tertile calculate exclusiv pe training."
Random Forest,Random Forest,Clasificare,RandomForestClassifier,n_estimators=800; min_samples_split=5; min_samples_leaf=1; max_features=0.5; max_depth=12; class_weight=balanced,13,738,203,F1 Macro,0.6534091669454667,27.417094583999642,"Clasificarea este exploratorie, iar pragurile sunt tertile calculate exclusiv pe training."
Gradient Boosting,Gradient Boosting,Clasificare,GradientBoostingClassifier,subsample=1.0; n_estimators=200; min_samples_leaf=4; max_depth=4; learning_rate=0.2,13,738,203,F1 Macro,0.6980551122459837,29.806168708999394,"Clasificarea este exploratorie, iar pragurile sunt tertile calculate exclusiv pe training."
XGBoost,XGBoost,Clasificare,XGBClassifier,subsample=0.8; reg_lambda=10; reg_alpha=0.01; n_estimators=200; min_child_weight=1; max_depth=4; learning_rate=0.05; colsample_bytree=0.8,13,738,203,F1 Macro,0.6567481613993241,49.32941666700026,"Clasificarea este exploratorie, iar pragurile sunt tertile calculate exclusiv pe training."
Extra Trees,Extra Trees,Clasificare,ExtraTreesClassifier,n_estimators=800; min_samples_split=5; min_samples_leaf=1; max_features=0.5; max_depth=12; class_weight=balanced,13,738,203,F1 Macro,0.7024557068006266,13.127347000001464,"Clasificarea este exploratorie, iar pragurile sunt tertile calculate exclusiv pe training."
