Model,Task,Feature raw,Feature,Importanță,Std,Importanță normalizată,Rang
SVC,classification,log_gdp_pc,Log PIB/locuitor PPP,0.1272127042791718,0.02139701147495202,0.6099266233064792,4.0
SVC,classification,gdp_growth,Creștere PIB,0.029301380969899444,0.0197129366386471,0.14048669474054706,12.0
SVC,classification,inflation,Inflație,0.009551365371079003,0.010227678483774842,0.04579442015448506,13.0
SVC,classification,female_unemployment,Șomaj feminin,0.12003764100693115,0.029606016284162564,0.5755254828036859,5.0
SVC,classification,fertility,Fertilitate,0.09204906111049152,0.018494310393977528,0.4413330676348653,10.0
SVC,classification,urbanization,Urbanizare,0.14452687972998896,0.012388643377083449,0.692940160577708,3.0
SVC,classification,female_services,Femei în servicii,0.10389688262397492,0.008824032900949425,0.4981379426684034,7.0
SVC,classification,child_dependency,Dependența copiilor,0.10633363498171351,0.01910456797267148,0.509821053610908,6.0
SVC,classification,female_vulnerable,Ocupare vulnerabilă,0.20633445570108475,0.027512922841577567,0.9892791647708713,2.0
SVC,classification,internet,Utilizare internet,0.05661762153391408,0.005436024778453331,0.27145555090191054,11.0
SVC,classification,women_parliament,Femei în parlament,0.10246238426639835,0.0261479521999978,0.49126018038567343,8.0
SVC,classification,female_tertiary,Educație terțiară feminină,0.0928274112235574,0.021492808519962246,0.4450648997573132,9.0
SVC,classification,control_corruption,Controlul corupției,0.20857050572663605,0.024455015833194375,1.0,1.0
Random Forest,classification,log_gdp_pc,Log PIB/locuitor PPP,-0.007311255012158457,0.011004506559203904,0.06381016531613404,12.0
Random Forest,classification,gdp_growth,Creștere PIB,-0.005978343826570555,0.004671977956266328,0.05217696650653889,10.0
Random Forest,classification,inflation,Inflație,-0.006930170748536587,0.00803472419278053,0.06048419052512346,11.0
Random Forest,classification,female_unemployment,Șomaj feminin,0.056690371079011835,0.014466305220799733,0.4947744189429907,2.0
Random Forest,classification,fertility,Fertilitate,0.008056532255039868,0.004743028534076286,0.0703146934710856,5.0
Random Forest,classification,urbanization,Urbanizare,0.006612751993786937,0.010516535680828153,0.0577138668007651,7.0
Random Forest,classification,female_services,Femei în servicii,-0.015920590013347367,0.015422363042609797,0.13894953451803774,13.0
Random Forest,classification,child_dependency,Dependența copiilor,0.009964630930487226,0.005606196952434078,0.08696793449705371,4.0
Random Forest,classification,female_vulnerable,Ocupare vulnerabilă,0.11457821768579321,0.026439476411480506,1.0,1.0
Random Forest,classification,internet,Utilizare internet,0.0014799344084796948,0.0061701117624350195,0.012916367860932391,9.0
Random Forest,classification,women_parliament,Femei în parlament,0.003701194311017294,0.011582382034404185,0.032302774347276415,8.0
Random Forest,classification,female_tertiary,Educație terțiară feminină,0.006664372984689201,0.012606655290283599,0.058164397381052384,6.0
Random Forest,classification,control_corruption,Controlul corupției,0.04691658539762749,0.025608651530011226,0.40947211734682776,3.0
Gradient Boosting,classification,log_gdp_pc,Log PIB/locuitor PPP,0.008513971768217903,0.006324523370108555,0.042214925178048604,10.0
Gradient Boosting,classification,gdp_growth,Creștere PIB,-0.0028988801392333396,0.002791785223274856,0.01437355108865737,12.0
Gradient Boosting,classification,inflation,Inflație,-0.00783451378015887,0.00578442594316696,0.03884596073837166,13.0
Gradient Boosting,classification,female_unemployment,Șomaj feminin,0.03306185368196154,0.004787137736541947,0.16393097339618476,5.0
Gradient Boosting,classification,fertility,Fertilitate,0.015828908803674286,0.009075190421602354,0.07848466250401158,8.0
Gradient Boosting,classification,urbanization,Urbanizare,0.03137343973286607,0.012499131146641368,0.1555592908875924,6.0
Gradient Boosting,classification,female_services,Femei în servicii,0.05074894359573353,0.025368800821864948,0.25162907689642566,3.0
Gradient Boosting,classification,child_dependency,Dependența copiilor,0.023630306191680113,0.013278690313882895,0.11716642185025199,7.0
Gradient Boosting,classification,female_vulnerable,Ocupare vulnerabilă,0.20168155533401477,0.03685717444005036,1.0,1.0
Gradient Boosting,classification,internet,Utilizare internet,0.007108623658944665,0.005135083966533585,0.035246771313180936,11.0
Gradient Boosting,classification,women_parliament,Femei în parlament,0.015434791280695867,0.009364889148543307,0.0765305050089164,9.0
Gradient Boosting,classification,female_tertiary,Educație terțiară feminină,0.04773994713365521,0.017577076867528376,0.23670953476430073,4.0
Gradient Boosting,classification,control_corruption,Controlul corupției,0.08573395038476586,0.01631376014785979,0.42509564269661465,2.0
XGBoost,classification,log_gdp_pc,Log PIB/locuitor PPP,-0.005626147869788656,0.006266303135857221,0.04693156151729082,12.0
XGBoost,classification,gdp_growth,Creștere PIB,-0.008019862990533208,0.006193391476007239,0.06689918253332221,13.0
XGBoost,classification,inflation,Inflație,0.005117912774844603,0.0038819174380996303,0.04269202370640336,7.0
XGBoost,classification,female_unemployment,Șomaj feminin,0.035793721840354724,0.022677829763260847,0.2985800048917852,3.0
XGBoost,classification,fertility,Fertilitate,0.024917020452092733,0.006559325779682469,0.20784997217268508,5.0
XGBoost,classification,urbanization,Urbanizare,-0.002488962328698631,0.00950645586439363,0.02076214336114262,11.0
XGBoost,classification,female_services,Femei în servicii,0.0014275967854106167,0.01637592992816247,0.011908564777715624,8.0
XGBoost,classification,child_dependency,Dependența copiilor,0.0007462939867857494,0.002391536211382695,0.006225350446065562,9.0
XGBoost,classification,female_vulnerable,Ocupare vulnerabilă,0.11987983540065751,0.030049764297615175,1.0,1.0
XGBoost,classification,internet,Utilizare internet,0.007335897791940564,0.006299838276387103,0.06119375929590515,6.0
XGBoost,classification,women_parliament,Femei în parlament,-0.0015972737019493977,0.011367365888496963,0.013323956415280806,10.0
XGBoost,classification,female_tertiary,Educație terțiară feminină,0.03738166764731843,0.02009458491197539,0.3118261509317471,2.0
XGBoost,classification,control_corruption,Controlul corupției,0.033667704344268023,0.02193542815107707,0.28084543352720825,4.0
Extra Trees,classification,log_gdp_pc,Log PIB/locuitor PPP,0.0027472411415118297,0.006199143513157536,0.03433849933916108,13.0
Extra Trees,classification,gdp_growth,Creștere PIB,0.017613857581875534,0.006775251044701704,0.22016030110937604,11.0
Extra Trees,classification,inflation,Inflație,0.0113881733731014,0.004854525195352959,0.1423438146501019,12.0
Extra Trees,classification,female_unemployment,Șomaj feminin,0.017709433326252837,0.021528429181007978,0.22135492781525518,10.0
Extra Trees,classification,fertility,Fertilitate,0.04175402909948584,0.016611121675838288,0.5218947397719121,3.0
Extra Trees,classification,urbanization,Urbanizare,0.05739923091122006,0.021947164269968213,0.7174482876405326,2.0
Extra Trees,classification,female_services,Femei în servicii,0.020011627529263824,0.012008803399727014,0.25013066683727975,8.0
Extra Trees,classification,child_dependency,Dependența copiilor,0.040380366823057665,0.006880108989947136,0.5047249688120168,4.0
Extra Trees,classification,female_vulnerable,Ocupare vulnerabilă,0.08000469427558121,0.02244881408161989,1.0,1.0
Extra Trees,classification,internet,Utilizare internet,0.02155759801476747,0.015362985426128201,0.2694541640333124,7.0
Extra Trees,classification,women_parliament,Femei în parlament,0.03420145678883135,0.016211607424397548,0.4274931252286557,5.0
Extra Trees,classification,female_tertiary,Educație terțiară feminină,0.01908989157402425,0.014396631614885752,0.23860964343252053,9.0
Extra Trees,classification,control_corruption,Controlul corupției,0.030096076203462836,0.024643876826018433,0.3761788789517151,6.0
