Model,Task,Feature raw,Feature,Importanță,Std,Importanță normalizată,Rang
SVR,regression,log_gdp_pc,Log PIB/locuitor PPP,1.4128196868172824,0.08815678075635386,0.43338044456177344,5.0
SVR,regression,gdp_growth,Creștere PIB,0.09876850171833963,0.0822237416784255,0.030297098478165616,12.0
SVR,regression,inflation,Inflație,0.04802850806888248,0.09201802726278858,0.01473267705196051,13.0
SVR,regression,female_unemployment,Șomaj feminin,1.229621161026234,0.15727663023744973,0.3771845553827079,6.0
SVR,regression,fertility,Fertilitate,0.5207732471186048,0.09943084803803055,0.15974645841789417,10.0
SVR,regression,urbanization,Urbanizare,1.4263561930844102,0.06897571646479593,0.4375327487507649,4.0
SVR,regression,female_services,Femei în servicii,1.8710458777715726,0.2127382389279195,0.5739406817941565,3.0
SVR,regression,child_dependency,Dependența copiilor,0.6390785525451184,0.09365472663879747,0.1960364438549315,8.0
SVR,regression,female_vulnerable,Ocupare vulnerabilă,2.4453620138530874,0.16962514624777988,0.7501113458190246,2.0
SVR,regression,internet,Utilizare internet,0.5740036336599095,0.09481059779663091,0.17607480434817643,9.0
SVR,regression,women_parliament,Femei în parlament,1.0258798272717888,0.15837101188663077,0.31468718885958025,7.0
SVR,regression,female_tertiary,Educație terțiară feminină,0.4842901908633432,0.10635951639273339,0.14855533241193108,11.0
SVR,regression,control_corruption,Controlul corupției,3.2599987021701002,0.18498292912477554,1.0,1.0
Random Forest,regression,log_gdp_pc,Log PIB/locuitor PPP,0.2261486553382856,0.021254650610843456,0.12349894187766243,9.0
Random Forest,regression,gdp_growth,Creștere PIB,-0.012870036504722928,0.00767140061889024,0.007028279199284227,13.0
Random Forest,regression,inflation,Inflație,0.023909169411460467,0.0052440155176091486,0.013056708734669433,11.0
Random Forest,regression,female_unemployment,Șomaj feminin,0.6132373750353286,0.06669155456962855,0.33488665596269407,3.0
Random Forest,regression,fertility,Fertilitate,0.00938574051609921,0.008271621215824998,0.005125518083415835,12.0
Random Forest,regression,urbanization,Urbanizare,0.5669892625296146,0.05872433419631576,0.30963073326109297,5.0
Random Forest,regression,female_services,Femei în servicii,0.47582700377672754,0.04914335218933993,0.2598473618838976,6.0
Random Forest,regression,child_dependency,Dependența copiilor,0.13698303789278604,0.0151443643398842,0.07480592891273682,10.0
Random Forest,regression,female_vulnerable,Ocupare vulnerabilă,1.3768629782015485,0.13820553022227325,0.7518997655062833,2.0
Random Forest,regression,internet,Utilizare internet,0.2700301340257805,0.08381781852999674,0.14746245462915902,8.0
Random Forest,regression,women_parliament,Femei în parlament,0.5930693232833182,0.0746510329243878,0.32387295770576013,4.0
Random Forest,regression,female_tertiary,Educație terțiară feminină,0.36535480329699954,0.08733618517168515,0.19951890295171804,7.0
Random Forest,regression,control_corruption,Controlul corupției,1.8311788902799473,0.12674678698869304,1.0,1.0
Gradient Boosting,regression,log_gdp_pc,Log PIB/locuitor PPP,0.4339968009842042,0.08217349216026933,0.19233696601833253,7.0
Gradient Boosting,regression,gdp_growth,Creștere PIB,-0.0333625716294018,0.008690834222515598,0.014785491024856628,13.0
Gradient Boosting,regression,inflation,Inflație,0.013267372662866452,0.01525138873635939,0.005879781139454009,12.0
Gradient Boosting,regression,female_unemployment,Șomaj feminin,1.006654358219807,0.11186930824094173,0.44612505126777713,3.0
Gradient Boosting,regression,fertility,Fertilitate,0.2220064180292158,0.06628609587742063,0.09838791618625577,10.0
Gradient Boosting,regression,urbanization,Urbanizare,0.8257653372108767,0.05163522486394284,0.3659593785992582,4.0
Gradient Boosting,regression,female_services,Femei în servicii,0.2641973771726701,0.051911075114740066,0.11708593667086016,9.0
Gradient Boosting,regression,child_dependency,Dependența copiilor,0.2065630575511776,0.031448112492974384,0.09154378947210194,11.0
Gradient Boosting,regression,female_vulnerable,Ocupare vulnerabilă,2.2564398824032503,0.1936946333499988,1.0,1.0
Gradient Boosting,regression,internet,Utilizare internet,0.43886345822083517,0.06852726943252935,0.19449375170297822,6.0
Gradient Boosting,regression,women_parliament,Femei în parlament,0.8024603236774873,0.1300932762812949,0.3556311559352588,5.0
Gradient Boosting,regression,female_tertiary,Educație terțiară feminină,0.3312949161672311,0.09647732290744288,0.14682195557294495,8.0
Gradient Boosting,regression,control_corruption,Controlul corupției,1.9006369213959664,0.12944291544787606,0.8423166671613996,2.0
XGBoost,regression,log_gdp_pc,Log PIB/locuitor PPP,0.33366735822965027,0.10474339327305085,0.1564430279361637,10.0
XGBoost,regression,gdp_growth,Creștere PIB,-0.030323451562662283,0.021046684133093782,0.014217430812256574,13.0
XGBoost,regression,inflation,Inflație,0.0044437736365149205,0.03524980862005834,0.002083504382471881,12.0
XGBoost,regression,female_unemployment,Șomaj feminin,0.9358197950841112,0.0947914044597819,0.43876776896107245,4.0
XGBoost,regression,fertility,Fertilitate,0.24968623858433986,0.06390773284869147,0.11706770301229431,11.0
XGBoost,regression,urbanization,Urbanizare,0.9197860182701456,0.1018126091910628,0.4312501843602347,5.0
XGBoost,regression,female_services,Femei în servicii,0.4795739527201155,0.03384850109007738,0.22485268466450348,7.0
XGBoost,regression,child_dependency,Dependența copiilor,0.35421798298322243,0.05000625704880257,0.1660783784825481,9.0
XGBoost,regression,female_vulnerable,Ocupare vulnerabilă,2.1328362320230894,0.16350944958964025,1.0,1.0
XGBoost,regression,internet,Utilizare internet,0.9160057384527752,0.12031166888532703,0.4294777651933938,6.0
XGBoost,regression,women_parliament,Femei în parlament,0.9825002600370327,0.10470400755051931,0.46065433683348855,3.0
XGBoost,regression,female_tertiary,Educație terțiară feminină,0.3893958476965985,0.15783709438254762,0.1825718458126714,8.0
XGBoost,regression,control_corruption,Controlul corupției,1.3198633421065016,0.09877774379539489,0.6188301390841213,2.0
Extra Trees,regression,log_gdp_pc,Log PIB/locuitor PPP,0.35768347046391646,0.034281205095486836,0.21210500111897962,9.0
Extra Trees,regression,gdp_growth,Creștere PIB,-0.004295307666262944,0.00218556495706256,0.002547101872438838,13.0
Extra Trees,regression,inflation,Inflație,0.02609026991382673,0.004760958785106846,0.015471435462447412,12.0
Extra Trees,regression,female_unemployment,Șomaj feminin,0.676318340383769,0.08043956209116897,0.4010543236952775,5.0
Extra Trees,regression,fertility,Fertilitate,0.08579759825166595,0.02255751124080388,0.050877664683728285,11.0
Extra Trees,regression,urbanization,Urbanizare,0.8353843547972329,0.039303346791776224,0.49537989351095896,3.0
Extra Trees,regression,female_services,Femei în servicii,0.6225363079331397,0.057498250016704486,0.3691617734515487,6.0
Extra Trees,regression,child_dependency,Dependența copiilor,0.38804987066322144,0.026747487126623858,0.23011216633659268,8.0
Extra Trees,regression,female_vulnerable,Ocupare vulnerabilă,1.480957239422543,0.1526756335062331,0.8782022734164007,2.0
Extra Trees,regression,internet,Utilizare internet,0.4029246083128112,0.06460760315214605,0.23893283183091565,7.0
Extra Trees,regression,women_parliament,Femei în parlament,0.7259470572707964,0.08122679275488223,0.4304839728686194,4.0
Extra Trees,regression,female_tertiary,Educație terțiară feminină,0.3533128723402173,0.06908515484416738,0.20951325227826448,10.0
Extra Trees,regression,control_corruption,Controlul corupției,1.6863509515425101,0.10864022356854289,1.0,1.0
