Feature raw,Feature,Mean |SHAP|,Mean |SHAP| Participare scăzută,Mean |SHAP| Participare medie,Mean |SHAP| Participare ridicată
internet,Utilizare internet,0.07679120861443532,0.07532414495968749,0.04367590769272076,0.11137357319089769
women_parliament,Femei în parlament,0.06255868667048103,0.04122633401684978,0.053131775108440686,0.09331795088615262
control_corruption,Controlul corupției,0.05231638729764628,0.052365792214615944,0.03901565805123405,0.06556771162708883
female_vulnerable,Ocupare vulnerabilă,0.05053805082816978,0.0709928387008967,0.025513743117515798,0.055107570666096825
female_unemployment,Șomaj feminin,0.04110702931960706,0.053168679887892346,0.022196375000468373,0.047956033070460466
female_services,Femei în servicii,0.032769236149600554,0.030722767128708164,0.029797341205798425,0.037787600114295064
female_tertiary,Educație terțiară feminină,0.030272399942063294,0.03303084813961825,0.01808639867223604,0.03969995301433559
urbanization,Urbanizare,0.027163106073961923,0.023979343065075927,0.026398357944076058,0.031111617212733783
log_gdp_pc,Log PIB/locuitor PPP,0.018621891442626843,0.01835842398654194,0.013925677380185795,0.02358157296115279
fertility,Fertilitate,0.010743625921508395,0.004348231546458297,0.01379158353648839,0.014091062681578496
child_dependency,Dependența copiilor,0.009302814245839555,0.006261011049996449,0.01051483471652247,0.011132596970999746
inflation,Inflație,0.002931222826042846,0.0020340165524546233,0.0027282997917055496,0.004031352133968365
gdp_growth,Creștere PIB,0.0023228754186794026,0.0017565682516882011,0.00256910745315919,0.002642950551190816
