C,gamma,Scor
0.1,scale,0.6469398683963817
0.1,auto,0.6469398683963817
0.1,0.001,0.12888042811515113
0.1,0.01,0.6198333524442915
0.1,0.1,0.6618961015379637
1.0,scale,0.814139498589805
1.0,auto,0.814139498589805
1.0,0.001,0.6131044273182807
1.0,0.01,0.6652427551493597
1.0,0.1,0.8289530256073397
10.0,scale,0.9124850109934947
10.0,auto,0.9124850109934947
10.0,0.001,0.6598514274301429
10.0,0.01,0.7501726104614056
10.0,0.1,0.9315768450751158
50.0,scale,0.9016023125672249
50.0,auto,0.9016023125672249
50.0,0.001,0.6724638533518558
50.0,0.01,0.7927820763397989
50.0,0.1,0.9091149388298511
100.0,scale,0.9057090756814028
100.0,auto,0.9057090756814028
100.0,0.001,0.6755754500772385
100.0,0.01,0.8064597757436293
100.0,0.1,0.9083816135030922
