C,gamma,Scor
0.1,scale,7.836972735323324
0.1,auto,7.836972735323324
0.1,0.001,9.787744541788468
0.1,0.01,8.714429635247853
0.1,0.1,7.948381158045872
1.0,scale,5.704249407794826
1.0,auto,5.704249407794826
1.0,0.001,8.467007570765992
1.0,0.01,6.595713193085101
1.0,0.1,5.67451786095593
10.0,scale,3.519084630358186
10.0,auto,3.519084630358186
10.0,0.001,6.800091709879063
10.0,0.01,5.645797780848326
10.0,0.1,3.392134219352655
50.0,scale,2.866252863161965
50.0,auto,2.866252863161965
50.0,0.001,6.462815172921505
50.0,0.01,4.628179960872159
50.0,0.1,2.768784917410582
100.0,scale,2.7614032685918093
100.0,auto,2.7614032685918093
100.0,0.001,6.206464911103641
100.0,0.01,4.294308999919206
100.0,0.1,2.664841676631967
