Rundă,Train,Validation
1,9.915354645531343,9.63173844791333
2,9.316450746045927,9.025598752619224
3,8.721516579829357,8.398835365031491
4,8.174649644417295,8.052628025626094
5,7.6933740698628235,7.671726184069227
6,7.232221308255891,7.198878461721864
7,6.840591579600192,6.863503525343997
8,6.452090214565047,6.519832321269555
9,6.1676116917743276,6.368193686977318
10,5.834363516552967,6.102147889856336
11,5.55160256682552,5.8716116592108865
12,5.3113015536126875,5.640451854340799
13,5.122560754586465,5.468858411645617
14,4.906397179147735,5.365553479309523
15,4.66926124859772,5.190768553138406
16,4.511937474875856,5.066981537801059
17,4.309199540280083,4.930495789464518
18,4.124889471504857,4.761943381878425
19,3.9734022939036118,4.6451741539577815
20,3.815950746803035,4.529833712907654
21,3.685169993249794,4.4430725677259515
22,3.5730651283416757,4.385883190474877
23,3.4625819188378464,4.269924590354336
24,3.338921077292205,4.134242205423088
25,3.244186085017682,4.095466061769418
26,3.1513220645727524,4.082264736358809
27,3.0766768099009036,4.041552308380936
28,2.991252296185746,3.999947430480669
29,2.925663188611154,3.9646831850709052
30,2.8791971778786203,3.9593217112130117
31,2.817383065728207,3.8844185135918248
32,2.754299930136767,3.846868466161776
33,2.7169676084576087,3.8053018310188644
34,2.6658827021455513,3.779868971921095
35,2.6236000405102384,3.741663108802413
36,2.5737890342115466,3.7719411452921046
37,2.5394622121140284,3.765994708224487
38,2.4901962274650007,3.7283263148647845
39,2.464835963066053,3.6984859136181534
40,2.424273096687325,3.695199543821964
41,2.3860671459832887,3.6787050819463367
42,2.3522645976491656,3.649847690220695
43,2.3005063359765705,3.629456066290345
44,2.280986506713252,3.629991519401777
45,2.2479965625932516,3.615164674072092
46,2.216734441930228,3.5998632006029876
47,2.1921265034798707,3.6022139533353417
48,2.141318178939434,3.5838731222665916
49,2.1240631901569427,3.5788433767768604
50,2.115157344399979,3.5735628203098178
51,2.079446305734725,3.5500914664757524
52,2.0545944655272588,3.539975765454842
53,2.0387246396864125,3.538793039921751
54,2.0131798164717827,3.5344280689486918
55,2.0088991610604743,3.531348564668473
56,1.9942936177579336,3.5240214799678093
57,1.9593377530695595,3.5015503799621
58,1.9127830581172502,3.4785708646649085
59,1.9022873054208793,3.4665191507808495
60,1.8925271653654188,3.463725467255724
61,1.8771072336791386,3.4643889814564366
62,1.846498797773759,3.4718305092286834
63,1.8274977914749033,3.4632158037014156
64,1.8117003410223738,3.4676933802985817
65,1.7949988899585827,3.4681301846407004
66,1.7819883037283657,3.4669568371438073
67,1.77459826973616,3.471369195521488
68,1.7628622351798684,3.4772556816829594
69,1.7427724615701694,3.4534026644985047
70,1.7261907526207791,3.444612852082993
71,1.7081406730246764,3.452455346336175
72,1.695994891624137,3.4395516724356137
73,1.6661746508119555,3.433374129984324
74,1.6462355975319023,3.4311264479142456
75,1.6369140475287793,3.4240139358143407
76,1.627270515922067,3.423189578430923
77,1.6071649375322117,3.3981451224319073
78,1.591671468459717,3.4019398426688796
79,1.5810012621211975,3.388934620924992
80,1.5721596679197953,3.3776625615653386
81,1.556338154071635,3.3699818942582125
82,1.5478070343637895,3.368081232313615
83,1.5405045456302742,3.360117450903278
84,1.5252926251706374,3.346884740720053
85,1.5103477831561696,3.336426363127175
86,1.499675821775535,3.330752311400734
87,1.486027036783804,3.320552810294352
88,1.479419590009901,3.3217441303153943
89,1.4616694979371545,3.3292668752145964
90,1.4543545371034066,3.328496963857869
91,1.4369067731678085,3.3234648651182597
92,1.4257357721640247,3.3244933470711766
93,1.4221042626104377,3.3218577445110102
94,1.4135841705167131,3.3288360615784303
95,1.4067257415925312,3.3249472847386845
96,1.393348141458035,3.3318995814833925
97,1.388036590518908,3.3412459646983694
98,1.383775031098835,3.3412290622943837
99,1.3787316991671017,3.340490795133428
100,1.3754924397426385,3.3426155650050027
101,1.3523399496909774,3.3455571199716156
102,1.3383974684840274,3.3439382901438965
103,1.3293536674737787,3.3462723320993533
104,1.3116074908296422,3.337689114760799
105,1.2981713330471276,3.337755163191955
106,1.2923206210130271,3.3436979563978917
107,1.280934764640988,3.3367397031731727
