"Țară","ISO3","Efect fix"
"Albania","ALB",-71.164802961202
"Austria","AUT",-66.3355468109088
"Belgium","BEL",-74.9198012546668
"Bulgaria","BGR",-63.7058209755541
"Bosnia and Herzegovina","BIH",-78.0656290560765
"Belarus","BLR",-57.812590194856
"Switzerland","CHE",-60.0697241836368
"Cyprus","CYP",-67.1178861797348
"Czechia","CZE",-68.1708346447333
"Germany","DEU",-61.2195335466956
"Denmark","DNK",-60.2030375275895
"Spain","ESP",-71.4307207332356
"Estonia","EST",-58.4707172500951
"Finland","FIN",-60.0708365972128
"France","FRA",-67.142096458316
"United Kingdom","GBR",-63.4499151834549
"Greece","GRC",-80.0380243941614
"Croatia","HRV",-72.1288027703677
"Hungary","HUN",-66.6817175160823
"Ireland","IRL",-72.8519908810567
"Iceland","ISL",-53.9575742636408
"Italy","ITA",-84.8719330095907
"Lithuania","LTU",-61.2325593596337
"Luxembourg","LUX",-78.6142569263258
"Latvia","LVA",-60.6076933433793
"Moldova","MDA",-57.7125199729451
"North Macedonia","MKD",-77.8340336376506
"Malta","MLT",-82.2394467124237
"Montenegro","MNE",-75.539317962254
"Netherlands","NLD",-59.9134358417566
"Norway","NOR",-63.348148836563
"Poland","POL",-70.7066534212147
"Portugal","PRT",-62.2514240534063
"Romania","ROU",-80.2347730221499
"Russian Federation","RUS",-67.1385614544093
"Serbia","SRB",-72.0270208639294
"Slovak Republic","SVK",-67.5403373303332
"Slovenia","SVN",-65.5085488552201
"Sweden","SWE",-57.0284348639824
"Turkiye","TUR",-100.066155514695
"Ukraine","UKR",-64.5859345789486
