"Termen","term_raw","Coeficient","Standard error","Statistică","p-value","IC 95% inferior","IC 95% superior"
"Log PIB/locuitor PPP","LogGDP",9.84692194695876,2.28074620381506,4.31741240234778,1.79212869888804e-05,5.37674152960479,14.3171023643127
"Creștere PIB","gdp_growth",0.0584945354277253,0.0438517950836103,1.33391427457408,0.182639582095399,-0.0274534035935816,0.144442474449032
"Inflație","inflation",0.0232336212374774,0.019173888583078,1.21173235866106,0.225999027986067,-0.0143465098289391,0.060813752303894
"Șomaj feminin","female_unemployment",0.190867843533567,0.0381925563204009,4.99751422587057,7.24360483094659e-07,0.116011808668063,0.26572387839907
"Fertilitate","fertility",0.782630675412891,0.968827295028017,0.807812372163047,0.419456451251198,-1.11623593008138,2.68149728090717
"Urbanizare","urbanization",-0.0977315076096285,0.0436030439774553,-2.24139185466409,0.0252944059281329,-0.183191903421757,-0.0122711117975
"Femei în servicii","female_services",0.0633588175218537,0.0850124796040479,0.745288430792188,0.456332431022397,-0.103262580738526,0.229980215782233
"Dependența copiilor","child_dependency",-0.102688414895473,0.0741781916135287,-1.38434778014653,0.166666496247956,-0.2480749988963,0.0426981691053546
"Ocupare vulnerabilă","female_vulnerable",0.110468823490362,0.0941958492335312,1.17275680817407,0.241268185870603,-0.0741516485005242,0.295089295481248
"Internet","internet",0.023665616862334,0.020470259481105,1.15609755138563,0.248011860228852,-0.0164553544748214,0.0637865881994893
"Femei în parlament","women_parliament",0.00993448001486367,0.0285985082796823,0.347377559616339,0.728405801283083,-0.0461175662248841,0.0659865262546114
"Educație terțiară","female_tertiary",0.0159768008789123,0.0115097469490327,1.38811052490211,0.165518341981302,-0.00658188861236157,0.0385354903701862
"Controlul corupției","control_corruption",-3.04431117073495,0.588552869631094,-5.17253644968739,2.97122342662806e-07,-4.19785359820959,-1.89076874326031
