"Termen","term_raw","Coeficient","Standard error","Statistică","p-value","IC 95% inferior","IC 95% superior"
"Log PIB/locuitor PPP","LogGDP",11.596728581292,1.23692045558091,9.37548451799648,7.57507547299174e-20,9.17240903661255,14.0210481259715
"Creștere PIB","gdp_growth",0.0308764252273232,0.0236664833704294,1.30464779004313,0.19240463089095,-0.0155090298194346,0.0772618802740811
"Inflație","inflation",0.035594618980962,0.0184316018795895,1.93117338435886,0.0538302756627607,-0.000530656880414225,0.0717198948423382
"Șomaj feminin","female_unemployment",0.0751580383941941,0.0365563826305733,2.0559484551225,0.0401258555964993,0.00350884503320492,0.146807231755183
"Fertilitate","fertility",-3.8561904855444,0.785502992095475,-4.90919897740592,1.11799423387678e-06,-5.39574805979998,-2.31663291128881
"Urbanizare","urbanization",-0.0143520955013343,0.0490204099085588,-0.292777957754867,0.769771167377286,-0.1104303334295,0.0817261424268313
"Femei în servicii","female_services",0.0717432535743418,0.0632526548961046,1.13423307989496,0.257051616412793,-0.0522296719485642,0.195716179097248
"Dependența copiilor","child_dependency",0.22941051720103,0.0582451251245941,3.93870760360271,8.93961731393234e-05,0.115252169681797,0.343568864720264
"Ocupare vulnerabilă","female_vulnerable",0.121018329007106,0.0554033921612803,2.18431262574717,0.0292417975205627,0.012429675749648,0.229606982264564
"Internet","internet",0.0585366933899453,0.0109855967586987,5.32849463490403,1.30340097137616e-07,0.0370053193942158,0.0800680673856747
"Femei în parlament","women_parliament",0.0451376186174484,0.0229400685769215,1.96763224425835,0.049470769915546,0.000175910403803319,0.0900993268310936
"Educație terțiară","female_tertiary",0.030399810862055,0.0092548862400748,3.28473090575874,0.00106719824211439,0.0122605671504931,0.0485390545736169
"Controlul corupției","control_corruption",-3.52302793079592,0.578879269106021,-6.08594592830492,1.8292258326032e-09,-4.65761044964059,-2.38844541195125
