"Predictor","Pooled β","Pooled p","FE β","FE p","RE β","RE p"
"Log PIB/locuitor PPP",-8.7198777857208,2.32485163057791e-14,11.596728581292,7.57507547299174e-20,10.2866502370097,6.07409299504064e-17
"Creștere PIB",-0.00903119485415235,0.875057213174753,0.0308764252273232,0.19240463089095,0.0318501303155157,0.194929504314004
"Inflație",-0.0270829344043373,0.530796871980009,0.035594618980962,0.0538302756627607,0.0332268116214624,0.0822618995687255
"Șomaj feminin",-0.73089160997039,4.87570714820768e-51,0.0751580383941941,0.0401258555964993,0.0427137252667954,0.247154905014811
"Fertilitate",-3.91352345390584,0.0115469943188792,-3.8561904855444,1.11799423387678e-06,-3.62183239504387,6.66569909390351e-06
"Urbanizare",-0.138989009843315,1.06462749312567e-07,-0.0143520955013343,0.769771167377286,-0.0222200443326399,0.610583971759998
"Femei în servicii",0.18746194952947,0.000103727075837945,0.0717432535743418,0.257051616412793,0.0806827488365071,0.184505862908406
"Dependența copiilor",0.0238099479952132,0.805383162237741,0.22941051720103,8.93961731393234e-05,0.210489690923601,0.000377902616706475
"Ocupare vulnerabilă",-0.131991176233051,0.000573191307853304,0.121018329007106,0.0292417975205627,0.0792346488779056,0.138357535904846
"Internet",0.0760061448457871,1.27469433439246e-06,0.0585366933899453,1.30340097137616e-07,0.0560493408507073,1.51242796332157e-07
"Femei în parlament",0.278885130407294,1.66950535717382e-18,0.0451376186174484,0.049470769915546,0.0590734081293788,0.0115004455065512
"Educație terțiară",0.0731039873560444,7.3079267130284e-10,0.030399810862055,0.00106719824211439,0.0363085262825206,0.000112937781192361
"Controlul corupției",3.58323459418452,2.09004974650035e-11,-3.52302793079592,1.8292258326032e-09,-2.5031011299821,5.168616575439e-06
