"Termen","Coeficient","p-value","Interpretare"
"Log PIB/locuitor PPP",9.84692194695876,1.79212869888804e-05,"În interiorul aceleiași economii, o creștere aproximativă cu 1% a PIB/locuitor este asociată cu o modificare estimată de 0.098 puncte procentuale a participării feminine, după controlul celorlalte variabile și al efectelor fixe incluse."
"Creștere PIB",0.0584945354277253,0.182639582095399,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Creștere PIB este asociată cu o modificare estimată de 0.058 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Inflație",0.0232336212374774,0.225999027986067,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Inflație este asociată cu o modificare estimată de 0.023 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Șomaj feminin",0.190867843533567,7.24360483094659e-07,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Șomaj feminin este asociată cu o modificare estimată de 0.191 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Fertilitate",0.782630675412891,0.419456451251198,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Fertilitate este asociată cu o modificare estimată de 0.783 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Urbanizare",-0.0977315076096285,0.0252944059281329,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Urbanizare este asociată cu o modificare estimată de -0.098 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Femei în servicii",0.0633588175218537,0.456332431022397,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Femei în servicii este asociată cu o modificare estimată de 0.063 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Dependența copiilor",-0.102688414895473,0.166666496247956,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Dependența copiilor este asociată cu o modificare estimată de -0.103 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Ocupare vulnerabilă",0.110468823490362,0.241268185870603,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Ocupare vulnerabilă este asociată cu o modificare estimată de 0.11 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Internet",0.023665616862334,0.248011860228852,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Internet este asociată cu o modificare estimată de 0.024 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Femei în parlament",0.00993448001486367,0.728405801283083,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Femei în parlament este asociată cu o modificare estimată de 0.01 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Educație terțiară",0.0159768008789123,0.165518341981302,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Educație terțiară este asociată cu o modificare estimată de 0.016 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
"Controlul corupției",-3.04431117073495,2.97122342662806e-07,"În interiorul aceleiași economii, o creștere cu o unitate a variabilei Controlul corupției este asociată cu o modificare estimată de -3.044 puncte procentuale a participării feminine, celelalte condiții incluse în model fiind menținute constante."
