"Termen","term_raw","Coeficient","Standard error","Statistică","p-value","IC 95% inferior","IC 95% superior"
"Intercept","(Intercept)",145.878930589475,10.9370664713578,13.3380309035797,8.14440162518805e-37,124.442674209093,167.315186969857
"Log PIB/locuitor PPP","LogGDP",-8.7198777857208,1.1217183174548,-7.77367869458207,2.32485163057791e-14,-10.9184052887311,-6.52135028271053
"Creștere PIB","gdp_growth",-0.00903119485415235,0.0574181802730498,-0.157288071673551,0.875057213174753,-0.121568760247158,0.103506370538853
"Inflație","inflation",-0.0270829344043373,0.0431902752762325,-0.627060935155489,0.530796871980009,-0.111734318428124,0.057568449619449
"Șomaj feminin","female_unemployment",-0.73089160997039,0.0452581813279029,-16.1493809191085,4.87570714820768e-51,-0.819596015378863,-0.642187204561918
"Fertilitate","fertility",-3.91352345390584,1.54593825565068,-2.5314875543064,0.0115469943188792,-6.94350675730386,-0.883540150507835
"Urbanizare","urbanization",-0.138989009843315,0.0259117288215598,-5.36394197393999,1.06462749312567e-07,-0.189775065110741,-0.0882029545758896
"Femei în servicii","female_services",0.18746194952947,0.0480531742112869,3.90113561916245,0.000103727075837945,0.0932794587325184,0.281644440326421
"Dependența copiilor","child_dependency",0.0238099479952132,0.0966048416140554,0.246467439906749,0.805383162237741,-0.165532062300532,0.213151958290958
"Ocupare vulnerabilă","female_vulnerable",-0.131991176233051,0.0381722204457478,-3.45778093838275,0.000573191307853304,-0.20680735351664,-0.0571749989494618
"Internet","internet",0.0760061448457871,0.0155729448961106,4.88065329665233,1.27469433439246e-06,0.0454837337161835,0.106528555975391
"Femei în parlament","women_parliament",0.278885130407294,0.0310060470928982,8.99453998672316,1.66950535717382e-18,0.218114394802261,0.339655866012328
"Educație terțiară","female_tertiary",0.0731039873560444,0.0117258362602356,6.23443699311688,7.3079267130284e-10,0.0501217705973687,0.0960862041147201
"Controlul corupției","control_corruption",3.58323459418452,0.527247898697202,6.79610976741391,2.09004974650035e-11,2.54984770181358,4.61662148655545
