"Termen","term_raw","Coeficient","Standard error","Statistică","p-value","IC 95% inferior","IC 95% superior"
"Intercept","(Intercept)",-55.1472572500623,12.1898985172017,-4.52401282686987,6.06780445636251e-06,-79.0390193189758,-31.2554951811489
"Log PIB/locuitor PPP","LogGDP",10.2866502370097,1.22990467660298,8.363778455922,6.07409299504064e-17,7.87608136645052,12.697219107569
"Creștere PIB","gdp_growth",0.0318501303155157,0.024573187067777,1.29613347376015,0.194929504314004,-0.0163124313226927,0.0800126919537241
"Inflație","inflation",0.0332268116214624,0.019121032150082,1.73771014873378,0.0822618995687255,-0.00424972273993088,0.0707033459828556
"Șomaj feminin","female_unemployment",0.0427137252667954,0.0369084812722227,1.15728753377186,0.247154905014811,-0.0296255687508321,0.115053019284423
"Fertilitate","fertility",-3.62183239504387,0.8041202387165,-4.50409307049014,6.66569909390351e-06,-5.19787910216796,-2.04578568791978
"Urbanizare","urbanization",-0.0222200443326399,0.0436337326978479,-0.509240052564556,0.610583971759998,-0.107740588931469,0.0633005002661897
"Femei în servicii","female_services",0.0806827488365071,0.0608004751767323,1.32700852422587,0.184505862908406,-0.0384839927528098,0.199849490425824
"Dependența copiilor","child_dependency",0.210489690923601,0.0592085909891683,3.55505320101449,0.000377902616706475,0.0944429850094682,0.326536396837734
"Ocupare vulnerabilă","female_vulnerable",0.0792346488779056,0.053467012919955,1.48193520734976,0.138357535904846,-0.0255587708061439,0.184028068561955
"Internet","internet",0.0560493408507073,0.0106739503853902,5.25104003925521,1.51242796332157e-07,0.0351287825225752,0.0769698991788395
"Femei în parlament","women_parliament",0.0590734081293788,0.0233758464317843,2.52711311659955,0.0115004455065512,0.0132575910149425,0.104889225243815
"Educație terțiară","female_tertiary",0.0363085262825206,0.00940399083326585,3.86096997820139,0.000112937781192361,0.0178770429383747,0.0547400096266664
"Controlul corupției","control_corruption",-2.5031011299821,0.549187679323507,-4.55782462757619,5.168616575439e-06,-3.5794892022093,-1.42671305775489
