"Termen","term_raw","Coeficient","Standard error","Statistică","p-value","IC 95% inferior","IC 95% superior"
"Log PIB/locuitor PPP","LogGDP",9.84692194695876,5.16599352208222,1.90610419948607,0.0570212495796655,-0.278239300689616,19.9720831946071
"Creștere PIB","gdp_growth",0.0584945354277253,0.0517381986196768,1.13058701285125,0.258592792544092,-0.0429104704918212,0.159899541347272
"Inflație","inflation",0.0232336212374774,0.0190639580238398,1.21871970177564,0.223336361628722,-0.014131049892032,0.0605982923669869
"Șomaj feminin","female_unemployment",0.190867843533567,0.0693584161640485,2.75190602798831,0.00606898543184561,0.0549278458272908,0.326807841239842
"Fertilitate","fertility",0.782630675412891,2.67414775012185,0.292665457762097,0.769859365956661,-4.45860260416474,6.02386395499053
"Urbanizare","urbanization",-0.0977315076096285,0.155269540092562,-0.629431294453292,0.529259702035029,-0.402054214087148,0.20659119886789
"Femei în servicii","female_services",0.0633588175218537,0.136454378226677,0.464322349676481,0.642552466621162,-0.204086849335239,0.330804484378946
"Dependența copiilor","child_dependency",-0.102688414895473,0.194289364423749,-0.528533382154193,0.597286593931851,-0.483488571745199,0.278111741954253
"Ocupare vulnerabilă","female_vulnerable",0.110468823490362,0.183830858966574,0.600926439180965,0.548071760928015,-0.249833039331186,0.47077068631191
"Internet","internet",0.023665616862334,0.0354481190439122,0.667612767634232,0.504587551968997,-0.0458114197834223,0.0931426535080902
"Femei în parlament","women_parliament",0.00993448001486367,0.0287921948821598,0.345040732584762,0.73016113837469,-0.0464971849900281,0.0663661450197554
"Educație terțiară","female_tertiary",0.0159768008789123,0.0200131251692498,0.798316142221539,0.424941452756869,-0.0232482036709094,0.0552018054287341
"Controlul corupției","control_corruption",-3.04431117073495,2.13775250242474,-1.4240709190058,0.15484464330982,-7.23422908334781,1.14560674187792
