"Termen","β","SE convențional","p convențional","SE cluster","p cluster","SE Driscoll–Kraay","p Driscoll–Kraay"
"Log PIB/locuitor PPP",9.84692194695876,1.22748584201994,4.03505810164156e-15,5.16599352208222,0.0570212495796655,2.28074620381506,1.79212869888804e-05
"Creștere PIB",0.0584945354277253,0.0322252902125144,0.0698990122688641,0.0517381986196768,0.258592792544092,0.0438517950836103,0.182639582095399
"Inflație",0.0232336212374774,0.02036640759278,0.254327435416959,0.0190639580238398,0.223336361628722,0.019173888583078,0.225999027986067
"Șomaj feminin",0.190867843533567,0.0386134967806447,9.50740790836626e-07,0.0693584161640485,0.00606898543184561,0.0381925563204009,7.24360483094659e-07
"Fertilitate",0.782630675412891,0.937624106717914,0.404156718370121,2.67414775012185,0.769859365956661,0.968827295028017,0.419456451251198
"Urbanizare",-0.0977315076096285,0.0485003040632996,0.0442560527725661,0.155269540092562,0.529259702035029,0.0436030439774553,0.0252944059281329
"Femei în servicii",0.0633588175218537,0.0700788780713367,0.366230821945772,0.136454378226677,0.642552466621162,0.0850124796040479,0.456332431022397
"Dependența copiilor",-0.102688414895473,0.0711709909043584,0.149485600721874,0.194289364423749,0.597286593931851,0.0741781916135287,0.166666496247956
"Ocupare vulnerabilă",0.110468823490362,0.0616925399689043,0.0737577897793292,0.183830858966574,0.548071760928015,0.0941958492335312,0.241268185870603
"Internet",0.023665616862334,0.0130235317047035,0.0695968844986825,0.0354481190439122,0.504587551968997,0.020470259481105,0.248011860228852
"Femei în parlament",0.00993448001486367,0.0227118485616198,0.661937919104538,0.0287921948821598,0.73016113837469,0.0285985082796823,0.728405801283083
"Educație terțiară",0.0159768008789123,0.00909940541998081,0.0795322581976125,0.0200131251692498,0.424941452756869,0.0115097469490327,0.165518341981302
"Controlul corupției",-3.04431117073495,0.562585292456683,8.44156780056397e-08,2.13775250242474,0.15484464330982,0.588552869631094,2.97122342662806e-07
