"An","Efect temporal"
2002,-45.4009936866865
2003,-45.8043773824702
2004,-46.1883302212403
2005,-46.1554643511141
2006,-46.2026315463932
2007,-46.3648419811951
2008,-46.2427619758042
2009,-45.6856316089153
2010,-46.5168307645358
2011,-46.2621996391496
2012,-45.7488738276631
2013,-45.5644609618674
2014,-45.0519504414676
2015,-44.5269389914998
2016,-43.9801620805032
2017,-43.7074757731183
2018,-43.3674457205983
2019,-42.8759842212043
2020,-42.5808952341378
2021,-43.2984156093324
2022,-41.6737226365355
2023,-40.8896612902434
