"Termen","term_raw","Coeficient","Standard error","Statistică","p-value","IC 95% inferior","IC 95% superior"
"Log PIB/locuitor PPP","LogGDP",9.84692194695876,1.22748584201994,8.0220248656838,4.03505810164156e-15,7.44109390506686,12.2527499888507
"Creștere PIB","gdp_growth",0.0584945354277253,0.0322252902125144,1.81517482207218,0.0698990122688641,-0.00466587278015401,0.121654943635605
"Inflație","inflation",0.0232336212374774,0.02036640759278,1.14078151149808,0.254327435416959,-0.0166838041388344,0.0631510466137893
"Șomaj feminin","female_unemployment",0.190867843533567,0.0386134967806447,4.94303441664056,9.50740790836626e-07,0.11518678052635,0.266548906540784
"Fertilitate","fertility",0.782630675412891,0.937624106717914,0.834695556359397,0.404156718370121,-1.05507880479076,2.62034015561654
"Urbanizare","urbanization",-0.0977315076096285,0.0485003040632996,-2.01506999795456,0.0442560527725661,-0.192790356812937,-0.00267265840631965
"Femei în servicii","female_services",0.0633588175218537,0.0700788780713367,0.904107189863366,0.366230821945772,-0.07399325957494,0.200710894618647
"Dependența copiilor","child_dependency",-0.102688414895473,0.0711709909043584,-1.44284087646705,0.149485600721874,-0.242180993812043,0.0368041640210974
"Ocupare vulnerabilă","female_vulnerable",0.110468823490362,0.0616925399689043,1.79063503538747,0.0737577897793292,-0.0104463329634884,0.231383979944212
"Internet","internet",0.023665616862334,0.0130235317047035,1.81714279958231,0.0695968844986825,-0.00186003623040045,0.0491912699550684
"Femei în parlament","women_parliament",0.00993448001486367,0.0227118485616198,0.437413977462483,0.661937919104538,-0.0345799251882389,0.0544488852179663
"Educație terțiară","female_tertiary",0.0159768008789123,0.00909940541998081,1.75580712601615,0.0795322581976125,-0.00185770602497863,0.0338113077828033
"Controlul corupției","control_corruption",-3.04431117073495,0.562585292456683,-5.41128822874329,8.44156780056397e-08,-4.14695808218198,-1.94166425928792
