"Variabilă","Media globală","Overall SD","Between SD","Within SD"
"Participarea femeilor",64.6953007438895,10.6002914739076,9.95809173471615,3.91319035208662
"Log PIB/locuitor PPP",10.4955114526006,0.601361343755505,0.590830778318035,0.17127028573385
"Creștere PIB",2.55286774417161,4.22773058279316,1.22963953274009,4.04875023790366
"Inflație",4.29704392994798,7.14834551613145,4.13340391917491,5.84665707168961
"Șomaj feminin",9.56394580233794,6.80621052517602,5.97467220122062,3.3755726573743
"Fertilitate",1.56044517958412,0.2734450929276,0.23322768986343,0.146660232538179
"Urbanizare",70.007022138997,16.7207864860947,16.7071109764217,2.50335762691883
"Femei în servicii",76.6860175200954,14.7711556784703,14.3986588772693,3.91715431594827
"Dependența copiilor",25.0584252397638,4.78412363743391,4.32027721911399,2.14744633194852
"Ocupare vulnerabilă",13.6538307237495,12.4590074512808,12.2290161329257,2.98578906876488
"Internet",65.4858479098123,25.4070905471212,14.8149282563761,20.8045914646671
"Femei în parlament",25.2142671319879,10.7860877372983,9.08146301874564,5.94605058337176
"Educație terțiară",72.6313736084783,25.2211430332698,21.1008092719217,14.8728174188429
"Controlul corupției",0.727151512863071,0.993661651348965,0.981537303315021,0.172848083616387
