"Year","n_available","available_mean","available_sd","available_q1","available_median","available_q3","n_balanced","balanced_mean","balanced_sd","balanced_q1","balanced_median","balanced_q3","female_lfpr_europe_mean","n_countries","sd_between_countries","q1","median","q3","sample_used"
2001,41,60.3032682926829,11.0038552312914,54.397,62.07,65.491,40,60.1829,11.1166680301387,53.7755,61.9025,65.72975,60.3032682926829,41,11.0038552312914,54.397,62.07,65.491,"Eșantion disponibil anual"
2002,41,60.7396829268293,10.7752247457745,54.951,62.438,65.667,40,60.62525,10.8872344743741,54.6435,62.417,65.80225,60.7396829268293,41,10.7752247457745,54.951,62.438,65.667,"Eșantion disponibil anual"
2003,41,60.9946097560976,10.9222990594427,55.519,62.527,66.546,40,60.878875,11.0359524752174,55.24925,62.4845,66.91125,60.9946097560976,41,10.9222990594427,55.519,62.527,66.546,"Eșantion disponibil anual"
2004,41,61.1161951219512,11.1270446732713,55.677,62.56,67.219,40,60.996875,11.2422004511561,55.673,62.369,67.288,61.1161951219512,41,11.1270446732713,55.677,62.56,67.219,"Eșantion disponibil anual"
2005,41,61.515512195122,11.0864912847166,56.975,62.362,67.868,40,61.402675,11.2038577362317,56.57075,61.9925,67.89325,61.515512195122,41,11.0864912847166,56.975,62.362,67.868,"Eșantion disponibil anual"
2006,41,62.023,11.2292707176379,57.115,62.627,68.888,40,61.9219,11.3534113811552,56.60475,62.4585,68.93675,62.023,41,11.2292707176379,57.115,62.627,68.888,"Eșantion disponibil anual"
2007,41,62.4076585365854,11.0619833497654,56.904,64.323,68.984,40,62.31145,11.1855206885669,56.65525,63.164,69.04025,62.4076585365854,41,11.0619833497654,56.904,64.323,68.984,"Eșantion disponibil anual"
2008,41,62.7962195121951,10.9420182565014,57.442,64.865,69.76,40,62.723925,11.0714915572349,56.89025,64.2075,69.911,62.7962195121951,41,10.9420182565014,57.442,64.865,69.76,"Eșantion disponibil anual"
2009,41,62.9321219512195,10.9141251234241,58.303,65.056,70.67,40,62.879025,11.0477999422266,57.62675,65.149,70.68175,62.9321219512195,41,10.9141251234241,58.303,65.056,70.67,"Eșantion disponibil anual"
2010,41,63.2086829268293,10.5568738328139,59.649,64.727,70.63,40,63.1776,10.6894615268185,58.91625,65.3275,70.69875,63.2086829268293,41,10.5568738328139,59.649,64.727,70.63,"Eșantion disponibil anual"
2011,41,63.645243902439,10.3114251434525,59.924,65.903,70.186,40,63.640275,10.4427364622436,59.35875,66.1045,70.52675,63.645243902439,41,10.3114251434525,59.924,65.903,70.186,"Eșantion disponibil anual"
2012,41,64.2241707317073,10.1707032817363,58.016,66.533,71.521,40,64.2423,10.2996006773477,57.94475,66.586,71.589,64.2241707317073,41,10.1707032817363,58.016,66.533,71.521,"Eșantion disponibil anual"
2013,41,64.6226829268293,10.1078883463338,58.531,66.842,71.549,40,64.65875,10.2339842424326,58.34375,66.968,71.64775,64.6226829268293,41,10.1078883463338,58.531,66.842,71.549,"Eșantion disponibil anual"
2014,41,65.3063902439024,10.0096939610511,61.273,67.058,71.494,40,65.36485,10.130120303409,60.58775,67.2875,71.521,65.3063902439024,41,10.0096939610511,61.273,67.058,71.494,"Eșantion disponibil anual"
2015,41,65.9977317073171,9.92506376811855,62.186,67.346,72.743,40,66.0734,10.0395187079451,61.48275,67.7935,72.763,65.9977317073171,41,9.92506376811855,62.186,67.346,72.743,"Eșantion disponibil anual"
2016,41,66.4834390243903,9.80670076286816,60.851,67.535,73.436,40,66.57175,9.91510776219288,60.5535,68.127,73.55425,66.4834390243903,41,9.80670076286816,60.851,67.535,73.436,"Eșantion disponibil anual"
2017,41,67.0477073170732,9.59135104467536,61.34,68.542,74.349,40,67.149625,9.69102884561482,61.04275,68.738,74.41475,67.0477073170732,41,9.59135104467536,61.34,68.542,74.349,"Eșantion disponibil anual"
2018,41,67.5109024390244,9.46014588630872,62.856,68.712,74.469,40,67.625,9.55204968204234,62.53125,68.8385,74.589,67.5109024390244,41,9.46014588630872,62.856,68.712,74.469,"Eșantion disponibil anual"
2019,41,68.0993902439024,9.32934124383402,62.889,69.01,75.117,40,68.22965,9.41035633961124,63.33,69.116,75.123,68.0993902439024,41,9.32934124383402,62.889,69.01,75.117,"Eșantion disponibil anual"
2020,41,67.6266341463415,9.78662782258551,61.911,68.982,75.108,40,67.769525,9.86789430162671,63.69025,69.136,75.238,67.6266341463415,41,9.78662782258551,61.911,68.982,75.108,"Eșantion disponibil anual"
2021,41,68.4938780487805,9.57180738992152,64.198,70.346,74.502,40,68.662525,9.63185862988165,65.281,70.4465,74.80575,68.4938780487805,41,9.57180738992152,64.198,70.346,74.502,"Eșantion disponibil anual"
2022,40,70.2389,9.00776999865771,67.16175,72.033,75.50125,40,70.2389,9.00776999865771,67.16175,72.033,75.50125,70.2389,40,9.00776999865771,67.16175,72.033,75.50125,"Eșantion disponibil anual"
2023,40,70.94555,8.81658519263407,68.89825,72.596,75.93975,40,70.94555,8.81658519263407,68.89825,72.596,75.93975,70.94555,40,8.81658519263407,68.89825,72.596,75.93975,"Eșantion disponibil anual"
