"Year","FLFP","Inflation","GDPGrowth","FemaleUnemployment","n_flfp","n_inflation","n_gdp_growth","n_unemployment"
2001,60.3032682926829,10.5345176867511,3.17268898848746,10.959756097561,41,39,45,41
2002,60.7396829268293,6.25030014047333,3.22665452323503,10.885756097561,41,39,45,41
2003,60.9946097560976,4.39663792733396,3.51473999532932,11.0676829268293,41,40,45,41
2004,61.1161951219512,3.99131564549349,5.09830137634271,11.2809512195122,41,41,45,41
2005,61.515512195122,3.97781437233564,4.40934687112843,11.0974634146341,41,41,45,41
2006,62.023,4.00329994954118,5.47813980204567,10.2182682926829,41,43,45,41
2007,62.4076585365854,4.17231806173464,5.60227748229625,9.01421951219512,41,43,45,41
2008,62.7962195121951,6.98958356947527,2.0905310547521,8.37007317073171,41,43,45,41
2009,62.9321219512195,2.48878873956205,-4.97968728970734,9.92143902439024,41,43,46,41
2010,63.2086829268293,2.85452077528878,2.04174647740308,10.8638048780488,41,43,45,41
2011,63.645243902439,5.07473493392735,2.20416280500398,10.8591463414634,41,43,45,41
2012,64.2241707317073,4.29427884472056,0.00347548838139543,11.2725853658537,41,43,45,41
2013,64.6226829268293,2.24032753952474,1.36758709651234,11.4674390243902,41,43,45,41
2014,65.3063902439024,1.51680691215758,2.05645102631849,11.0169512195122,41,43,45,41
2015,65.9977317073171,2.27109011126898,2.81813033572381,10.4541951219512,41,43,45,41
2016,66.4834390243903,1.30208991867108,2.6894614774202,9.58163414634146,41,43,45,41
2017,67.0477073170732,2.47583753136457,3.4264529083438,8.57548780487805,41,43,45,41
2018,67.5109024390244,2.54270314083251,3.36654918096307,7.67063414634146,41,43,45,41
2019,68.0993902439024,2.31132108463254,2.88551291355113,7.16951219512195,41,43,45,41
2020,67.6266341463415,1.3124608637006,-4.59854873011803,7.6959512195122,41,43,45,41
2021,68.4938780487805,3.66576241443527,7.97486150417937,7.57931707317073,41,43,45,41
2022,70.2389,12.5620132254144,3.10675024192625,6.48365,40,43,45,40
2023,70.94555,8.34329598103217,1.92776269829259,6.31035,40,43,45,40
